ID_V2.1D ID_V4.1 RA DEC FIELD
-9999 26486 214.664078 52.720539 AEGIS
10360 28756 214.68071 52.741055 AEGIS
-9999 20409 214.673401 52.702564 AEGIS
7895 22162 214.694626 52.725391 AEGIS
6593 19375 214.694702 52.713425 AEGIS
6741 18964 214.695038 52.713398 AEGIS
6927 21112 214.715805 52.735405 AEGIS
6894 20136 214.7229 52.736534 AEGIS
-9999 13890 214.709564 52.703075 AEGIS
-9999 12983 214.720917 52.707054 AEGIS
-9999 10309 214.719772 52.695156 AEGIS
3757 11190 214.742676 52.715569 AEGIS
-9999 6482 214.729172 52.685787 AEGIS
3472 10382 214.753311 52.71994 AEGIS
3009 9183 214.761276 52.720371 AEGIS
1587 5499 214.758865 52.702576 AEGIS
-9999 2567 214.750534 52.683018 AEGIS
-9999 1648 214.75351 52.681458 AEGIS
-9999 1848 214.753006 52.681873 AEGIS
13845 39567 214.846344 52.905159 AEGIS
13931 39897 214.845825 52.905315 AEGIS
12414 34842 214.837723 52.877121 AEGIS
11959 34308 214.843155 52.876778 AEGIS
12005 33801 214.851913 52.883129 AEGIS
11155 30756 214.858231 52.876125 AEGIS
10272 28453 214.854797 52.864052 AEGIS
11016 30650 214.872635 52.885571 AEGIS
9509 28310 214.877991 52.876759 AEGIS
9228 26054 214.880936 52.873665 AEGIS
8855 24851 214.890091 52.874676 AEGIS
9168 25383 214.909225 52.891163 AEGIS
7071 20263 214.899704 52.863457 AEGIS
8606 24447 214.927139 52.899181 AEGIS
8111 22682 214.929733 52.89489 AEGIS
5901 16933 214.915955 52.862019 AEGIS
5111 15221 214.914627 52.853512 AEGIS
4761 13671 214.917007 52.850376 AEGIS
5514 16339 214.938324 52.874329 AEGIS
5618 16026 214.938065 52.874332 AEGIS
6001 17556 214.953293 52.890419 AEGIS
3988 11802 214.936142 52.855892 AEGIS
3851 11516 214.949249 52.863487 AEGIS
3111 9447 214.955353 52.859497 AEGIS
4261 12141 214.979233 52.888409 AEGIS
3411 10386 214.979858 52.880852 AEGIS
2138 6957 214.977997 52.864731 AEGIS
2010 6369 214.980057 52.86417 AEGIS
946 4123 214.977997 52.851265 AEGIS
1402 5041 214.99408 52.867867 AEGIS
1002 3883 214.995148 52.863594 AEGIS
16459 15710 150.145218 2.340251 COSMOS
16580 15840 150.141479 2.341203 COSMOS
11816 11343 150.146881 2.295288 COSMOS
14269 13653 150.14003 2.318056 COSMOS
14532 13894 150.135742 2.321054 COSMOS
12368 11865 150.136932 2.300029 COSMOS
12378 11871 150.133057 2.303255 COSMOS
13444 12902 150.125687 2.312197 COSMOS
12515 12563 150.126434 2.312125 COSMOS
13877 13295 150.121094 2.314884 COSMOS
14209 13599 150.115189 2.318178 COSMOS
14102 13490 150.117722 2.318207 COSMOS
13015 12476 150.115158 2.306881 COSMOS
12609 12093 150.113785 2.302864 COSMOS
13280 12717 150.110031 2.309548 COSMOS
11609 11136 150.109085 2.294313 COSMOS
14379 13739 150.100632 2.320232 COSMOS
14956 14291 150.092941 2.325224 COSMOS
11549 11076 150.096497 2.293017 COSMOS
11278 10815 150.098129 2.29344 COSMOS
11018 10565 150.094238 2.287269 COSMOS
12372 11862 150.085358 2.300797 COSMOS
11223 10769 150.084396 2.29049 COSMOS
12471 11968 150.079056 2.301734 COSMOS
11461 10989 150.077515 2.292315 COSMOS
11982 11494 150.073929 2.297983 COSMOS
13219 12663 150.069366 2.3081 COSMOS
15092 14425 150.063293 2.326248 COSMOS
13717 13074 150.062469 2.3141 COSMOS
14031 13420 150.058884 2.31588 COSMOS
12223 11735 150.055984 2.298817 COSMOS
12248 11744 150.055069 2.298522 COSMOS
12813 -9999 150.051697 2.305828 COSMOS
22641 21722 150.157104 2.40162 COSMOS
26497 25328 150.145966 2.440717 COSMOS
24215 23125 150.147522 2.415328 COSMOS
23999 22929 150.146286 2.414805 COSMOS
24263 23173 150.142654 2.41605 COSMOS
26548 25365 150.133621 2.44174 COSMOS
26730 25534 150.129883 2.44436 COSMOS
26762 25604 150.124649 2.444443 COSMOS
22426 21440 150.128922 2.398084 COSMOS
22306 21324 150.123367 2.39653 COSMOS
23927 22874 150.116821 2.412369 COSMOS
26504 25312 150.108871 2.440676 COSMOS
26108 24933 150.105988 2.436183 COSMOS
25670 24510 150.102081 2.431831 COSMOS
26393 25208 150.096802 2.439336 COSMOS
23397 22393 150.097198 2.407425 COSMOS
24637 23525 150.091049 2.41978 COSMOS
23224 22221 150.090912 2.405532 COSMOS
22392 21413 150.088943 2.399108 COSMOS
22959 21972 150.084671 2.40332 COSMOS
